Click to return to Instruction Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital ID,Year,Hospital,street address,City,Zip Code,Health Service Area,Hospital Planning Area,County,Ownership Type,Ownership Detail,Specialized Hospital Characteristics,,Hospital Classification,,,,Administrator,,,,Date Received,Contact Person,,,,Hospital Operator,Physical Plant Owner,Management Contracts,,,Facility Comments,Agency Comments Displayed on Facility Profiles,Data Certification,,,Community Health Needs Assessment
5579,2016,Advocate Condell Medical Center,801 South Milwaukee Avenue,Libertyville,60048,8,A-09,Lake,Church-Related,,,,General Hospital,,,,Dominica Tallarico,President,847-990-5201,dominica.tallarico@advocatehealth.com,3/17/17,Amanda Erspamer,"Director, Finance",847-990-5870,amanda.erspamer@advocatehealth.com,Advocate Health and Hospitals Corporation,Advocate Health and Hospitals Corporation,,,,"2016 AHQ Comments   Parts I, Question X.  Charity Care* Patients  Part II, Questions 3 – Cost of Charity Care/Community Benefit:    Charity Care information for 2016 will be provided as soon as it is available.  Part I, Question VII – Cardiac Catheterization  Procedures that are done in the Cardiac Catheterization Labs but are not cardiac related (peripheral and other studies) are represented by the following:  2016 Non-Cardiac related procedures – 840 procedures  Part II, Questions 2.  Inpatient and Outpatient Net Revenues during your reported Fiscal Year by Payor.    Condell is reporting the 2016 Net Revenues including Bad Debt.  Part I, Question IIIA.  Surgical Procedures – Invasive, Non OR  Pain Procedures are performed both in the OR, and in a Dedicated Procedure room.    Pain Procedures listed under the Dedicated Procedure Rooms section are performed in a dedicated Non- Operating Room and started in 2014.    Pain Procedures are also performed in the Operating Room.  These procedures are reported under the Multipurpose (Non-Dedicated) Procedure Rooms section.  The Surgical Procedures – Operating Room (Question III) section does not provide a row to include Pain procedures, so these procedures are reported here and are labelled Pain Mgmt – OR.  Part I, Questions X. Patients Services during Calendar Year 2016 by Primary Payor and Part II, Inpatients and Outpatients Net Revenue during reported Fiscal Year by Payor.  Medicare Managed Care plans and Public Aid Managed Care plans for 2016 are reported under Medicare and Public Aid respectively.  Prior to 2014, Condell Medical Center has reported these plans under Private Insurance.",,David A. Cartwright,VP Finance and Support Services,3/17/17,http://www.advocatehealth.com/condell-chna-2016
5652,2016,Advocate Eureka Hospital,101 South Major Street,Eureka,61530-0203,2,C-01,Woodford,Church-Related,,Critical Access Hospital,,General Hospital,,,,Colleen Kannaday,President,309-268-5180,colleen.kannaday@advocatehealth.com,3/20/17,Katherine Montague,Manager Finance,309-268-5277,katherine.montague@advocatehealth.com,Advocate Eureka Hospital,Advocate Health & Hospitals Corporation,,,,Charity Care data will be provided by early July.,,Katherine Montague,Manager Finance,3/20/17,http://www.advocatehealth.com/documents/CHNA/Eureka%20CHNA%20Rpt%20Final.pdf
3384,2016,Advocate Good Samaritan Hospital,3815 Highland Avenue,Downers Grove,60515,7,A-05,DuPage,Church-Related,,,,General Hospital,,,,David Fox,President,630-275-1902,david.fox@advocatehealth.com,3/17/17,Sandy Churchill,"VP, Business Development",630-275-3279,sandy.churchill@advocatehealth.com,Advocate Health and Hospitals Corporation,Advocate Health and Hospitals Corporation,,,,"Pediatric unit was closed Nov. 2015 due to lack of staffing-appropriate notification/documentation sent to IDPH. The unit re-opened Jan 2017, which is why this report shows zero pediatric beds set up and staffed, admits or pt days for 2016 reporting period.    Total NICU days could not be reflected in body of survey due to hard stop.  Actual NICU days were 4195. Expansion of NICU has been funded and once approved we will move forward.  Total hospital days were 66316.    Advocate Health Care will report on charity care for all sites as soon as report is available.",,Sandy Churchill,VP Business Development,3/17/17,http://www.advocatehealth.com/chnareports
3475,2016,Advocate Good Shepherd Hospital,450 West Highway #22,Barrington,60010,8,A-09,Lake,Church-Related,,,,General Hospital,,,,Karen Lambert,President,847-842-4005,karen.lambert@advocatehealth.com,3/16/17,Rosana Zeek,"Manager, Budget and Cost Analyst",847-842-4178,rosana.zeek@advocatehealth.com,Advocate Health and Hospitals Corporation,Advocate Health and Hospitals Corporation,,,,,,Colette Fraterrigo,"Vice President, Finance",3/16/17,http://www.advocatehealth.com/gshp-chna-2016
5165,2016,Advocate Illinois Masonic Medical Center,836 West Wellington,Chicago,60657,6,A-01,Cook,Church-Related,,,,General Hospital,,,,Susan Nordstrom-Lopez,President,773-296-7081,susan.nordstrom.lopez@advocatehealth.com,3/16/17,Kevin Ranos,Manager of Finance,773-296-7097,kevin.ranos@advocatehealth.com,Advocate Northside Health Network DBA Advocate Ill,Advocate Northside Health Network DBA Advocate Ill,,Rehabilitation Institute of Chicago,,"• Advocate Illinois Masonic Medical Center is a Disproportionate Share Hospital.  • The Charity Care data will be reported as soon as it is available.  • Page 8: Part I, Question IV, f:  Labor, Delivery and Recovery Care: The 8 Labor-Delivery-Recovery Rooms include 6 Labor-Delivery Rooms and 2 Recovery Rooms.    • Page 10: Part I, Question X: Patient Served:  We are Reporting the “Replacement Plans” (Medicare Managed Care, and Medicaid Managed Care) under their respective “Traditional Plans” (of Medicare and Medicaid), opposed to reporting them under the “Private Insurance” column.  • Page 16:  Part II, 2: Net Revenues:  We are Reporting the “Replacement Plans” (Medicare Managed Care, and Medicaid Managed Care) under their respective “Traditional Plans” (of Medicare and Medicaid), opposed to reporting them under the “Private Insurance” column.  • Page 16:  Part II, 2: Net Revenues:  “Other Public” consists of NET Medicaid Assessment (Revenue after Tax of $30.01million in 2016) AND Affordable Care Act Medicaid Expansion Payment   ($18.25 million).",,Kevin Ranos,Manager of Finance,3/16/17,
4796,2016,Advocate Lutheran General Hospital,1775 Dempster Street,Park Ridge,60068,7,A-07,Cook,Church-Related,,,,General Hospital,,,,Rick Floyd,President,847-723-8446,rick.floyd@advocatehealth.com,3/16/17,Anna Ringler,Senior Financial Analyst,847-723-4436,anna.ringler@advocatehealth.com,Advocate Health And Hospitals Corp,Advocate Health And Hospitals Corp,,,,"Part I Question IV - Lutheran General Hospital captures all Level II+ Newborn Patient Days in the Neonatal Intensive Care Unit for clinical reasons.   The NICU had 4,139 Level II days and 10,054 Level II+ days for a total of 14,193 patient days in 2016 as reported in Part I Question I Section E.  LGH had a total of 8,117 Newborn Level I and Level II patient days in the Normal Newborn nursery as reported in Part I – Question IV.      Part I Question IV – Lutheran General Hospital has a total of 56 newborn beds that are available for either Level I or Level II.    Part 1 Question VIII – Emergency/Trauma Care – Lutheran General Hospital is designated a Pediatric Critical Care Center (PCCC).    Part I Question IX & X – Outpatient visits of 332,588 is a reflection of all the visits provided and billed by the hospital, including the reoccurring visits.     Part I Question XII, 9-14 - Reflects treatments, not courses of treatment.      Part I Question XII, 10 – In addition to the 9,060 treatments reported, Lutheran General Hospital performed 3,610 other procedures as well as 3,831 simulations and planning sessions.    Part II Question 2 – Regarding Inpatient and Outpatient Net Revenues – Bad Debt of $21,972,000 is included in the Total Net Revenue.  Medicare Managed Care net revenue is reported with traditional Medicare net revenue, and Medicaid Managed Care net revenue is reported with traditional Medicaid net revenue.    Part I Question X – Charity Care Patients & Part II Question 3 – Charity Care Services – Charity Care information will be provided as soon as it is available.      Part II Question 1 – Total 2016 Capital Expenditures of $17,897,914 reflect the amount approved in 2016.",,Rick Floyd,President,3/16/17,http://www.advocatehealth.com/luth-chna-2016
5884,2016,Advocate Sherman Hospital,1425 Randall Road,Elgin,60123,8,A-11,Kane,Church-Related,,,,General Hospital,,,,Linda Deering,"President, Advocate Sherman Hospital",224-783-8002,linda.deering@advocatehealth.com,3/15/17,Laura Bloom,Senior Financial Analyst,224-783-2019,laura.bloom@advocatehealth.com,Advocate Health Care and Hospitals Corporation,Advocate Health Care and Hospitals Corporation,,,,Charity Care data will be provided by early July.,,Laura Bloom,Senior Financial Analyst,3/15/17,http://www.advocatehealth.com/sherman-chna-2016
4697,2016,Advocate South Suburban Hospital,17800 South Kedzie Avenue,Hazel Crest,60429,7,A-04,Cook,Church-Related,,,,General Hospital,,,,Richard Heim,President South Suburban Hospital,708-213-3000,richard.heim@advocatehealth.com,3/17/17,Kelly O'Hara,Director of Finance,708-213-3356,kelly.ohara@advocatehealth.com,Advocate Health and Hospitals Corporation,Advocate Health and Hospitals Corporation,,Healthpro Rehab,,Charity will be provided by early July.,,kelly ohara,Director of Finance,3/17/17,http://www.advocatehealth.com/documents/CHNA/SSUBCHNAReport1-14.pdf
4176,2016,Advocate Trinity Hospital,2320 East 93rd Street,Chicago,60617,6,A-03,Cook,Church-Related,,,,General Hospital,,,,Terika Richardson,"President, Advocate Trinity Hospital",(773) 967-5001,terika.richardson@advocathealth.com,3/15/17,Maureen Morrison,"V.P, of Finance, Advocate Trinity Hospital",(773) 967-5050,maureen.morrison@advocatehealth.com,ADVOCATE HEALTH AND HOSPITALS CORPORATION,ADVOCATE HEALTH AND HOSPOITALS CORPORATION,,,,"- Charity Care data will be provided by June 30, 2017.",,Terika Richardson,"President, Advocate Trinity Hospital",3/15/17,http://www.advocatehealth.com/chnareports
5009,2016,Alexian Brothers Behavioral Health Hospital,1650 Moon Lake Boulevard,Hoffman Estates,60169,7,A-07,Cook,Church-Related,,,,,,,Psychiatric Hospital,CLAYTON CIHA,CEO,847-882-1600,CLAY.CIHA@AMITAHEALTH.ORG,5/5/17,Jim Yaniz,DIRECTOR DECISION SUPPORT/BUDGET,847-483-7960,James.Yaniz@AmitaHealth.org,ALEXIAN BROTHERS BEHAVIORAL HOSPITAL,ALEXIAN BROTHERS HEALTH SYSTEM,,,,,,JAMES YANIZ,DIRECTOR DECISION SUPPORT/BUDGET,5/5/17,HTTP://WWW.ALEXIANBROTHERSHEALTH.ORG/COMMUNITYNEEDS
2238,2016,Alexian Brothers Medical Center,800 Biesterfield Road,Elk Grove Village,60007,7,A-07,Cook,Church-Related,,,,General Hospital,,,,John Werrbach,President & CEO,847-981-5774,John.Werrbach@amitahealth.org,4/18/17,Jim Yaniz,"Director, Decision Support, Budget",847.483.7960,James.Yaniz@AmitaHealth.org,Alexian Brothers Medical Center,Alexian Brothers Health System,,Rehabilitation Institute of Chicago,,,,Jim Yaniz,"Director, Decision Support/Budget",4/17/17,www.alexianbrothers.org/ABMC
0026,2016,Alton Memorial Hospital,One Memorial Drive,Alton,62002,11,F-01,Madison,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,David Braasch,President,618-463-7301,david.braasch@bjc.org,3/16/17,Kelly Hebel,Manaer of Reulatory Preparation,618-463-7494,kelly.hebel@bjc.org,Alton Memorial Hospital,Alton Memorial Hospital,,,,,,Kelly Hebel,Manager of Regulatory Preparation,3/16/17,
4119,2016,Anderson Hospital,6800 State Route 162,Maryville,62062,11,F-01,Madison,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Keith A. Page,President & CEO,618-391-6406,pagek@andersonhospital.org,3/13/17,Lisa Klaustermeier,Chief Nursing Officer,618-391-6404,klaustermeierl@andersonhospital.org,"Southwestern Illinois Health Facilities, Inc.","Southwestern Illinois Health Facilities, Inc.","Randy Jung, MD",RehabCare Group,"Uptown Emergency Physicians, LLP",,,Keith A. Page,President & CEO,3/13/17,http://www.andersonhospital.org/sites/www/vploads/files/downloads/cha2016.2018.pdf
5843,2016,Ann & Robert H. Lurie Children's Hospital of Chica,225 E. Chicago Avenue,Chicago,60611,6,A-01,Cook,Not for Profit Corporation (Not Church-Related),,,,,,Children's Speciality Care Hospital,,Patrick Magoon,Preseident/CEO,(312) 227-4350,pmagoon@luriechildrens.org,3/20/17,Amy D'Arco,Manager Business Analytics,(312) 227-7438,adarco@luriechildrens.org,Ann & Robert H. Lurie Children's Hospital of Chica,Ann & Robert H. Lurie Children's Hospital of Chica,,,,"Net revenue by payment source excludes activity at the Outpatient Center in Westchester which is reported on a separate survey,",,Ron Blaustein,Chief Financial Officer,3/20/17,https://www.luriechildrens.org/en-us/community/community-health-needs-assessment/Documents/chna-2016.pdf
5207,2016,Aurora Chicago Lakeshore Hospital,4840 North Marine Drive,Chicago,60640,6,A-01,Cook,Limited Liability Company,,,,,,,Psychiatric Hospital,Patrick Moallemian,Chief Executive Officer,773-907-4600,patrick.moallemian@chicagolakeshorehospital.com,3/9/17,Carol Peart,Chief Financial Officer,773-313-4401,carol.peart@chicagolakeshorehospital.com,Aurora Chicago Lakeshore Hospital,Signature Healtcare Corporation,,,,,,Carol Peart,Chief Financial Officer,3/9/17,
0141,2016,Blessing Hospital at 11th Street,Broadway @ 11th Street,Quincy,62305-7005,3,E-05,Adams,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Maureen Kahn,President and CEO,217-223-8400,Maureen.Kahn@blessingHealthSystem.org,3/24/17,Ken Stegeman,Financial Analyst,217-223-8400 x6899,Ken.Stegeman@BlessingHealthSystem.org,Blessing Hospital,Blessing Hospital,,,,,,Tim Moore,Chief Accounting Officer,3/17/17,http://www.blessinghealthsystem.org/upload/docs/publications/community_benefit_report_2015.pdf
3798,2016,Carle Foundation Hospital,611 West Park Street,Urbana,61801,4,D-01,Champaign,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,"James C. Leonard, MD",President & CEO,217-383-3220,James.Leonard@Carle.com,3/10/17,Collin Anderson,Business Development & Regulatory Coordinator,217-383-7503,Collin.Anderson@carle.com,The Carle Foundation Hospital,The Carle Foundation,,,,"Page 15, Part II, Detail Capital Expenditures:  The form only has spaces to enter 20 capital expenditures. In addition to those listed, the organization also committed during 2016 to set aside funding for the following projects:  -Voalte- Rover Smartphone System: $1,467,876 (Equity)  -SIEM Cybersecurity Software: $705,744 (Equity)  -Cisco Identity Services Engine for Security and PCI Compliance: $524,822 (Equity)  -Data Backup System Upgrade: $534,054 (Equity)  -Data Center Refresh to 10G Network: $1,406,145 (Equity)     Page 16, items 2 and 3:  Placeholder numbers have been inserted with approval by Mike Mitchell. Carle’s audited 2016 financial information will be available in April 2017 and will be submitted via email to DPH.FacilitySurvey@illinois.gov by the end of the day April 30, 2017.",,Stephanie Beever,Executive Vice President and System Chief Strategy Officer,3/10/17,https://www.carle.org/About/Serving-Our-Community/Community-Health-Needs-Assessment
5686,2016,Carlinville Area Hospital Association,20733 N Broad,Carlinville,62626,3,E-02,Macoupin,Not for Profit Corporation (Not Church-Related),,Critical Access Hospital,,General Hospital,,,,Kenneth Reid,President and CEO,"217-854-3141, ext 311",kreid@cahcare.com,2/28/17,Michael J. Brown,Chief Financial Officer,217-854-3857,mbrown@cahcare.com,Carlinville Area Hospital Association,Middle Macoupin Healthcare System,,,Illinois Emergency Physicians,,,Michael J. Brown,Chief Financial Officer,2/28/17,www.cahcare.com
3890,2016,Centegra Hospital - Huntley,10400 Haligus Road,Huntley,60142,8,A-10,McHenry,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Michael S. Eesley,Chief Executive Officer,815-788-5823,meesley@centegra.com,3/20/17,Robert Vavrik,Strategic Planning Manager,815-788-5849,RVAVRIK@centegra.com,Northern Illinois Medical Center d/b/a Centegra Ho,Northern Illinois Medical Center d/b/a Centegra Ho,,,,No information was entered in pages 14-18 (Annual Hospital Questionnaire - Financial & Capital Expenditures Data for Fiscal Year)due to Centegra Hospital-Huntley being a new facility that has not yet completed a fiscal year.,,Robert Vavrik,Strategic Planning Manager,3/20/17,https://centegra.org/mchenry-county-healthy-community-study/
3889,2016,Centegra Hospital - McHenry,4201 Medical Center Drive,McHenry,60050,8,A-10,McHenry,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Michael S. Eesley,Chief Executive Officer,815-788-5823,meesley@centegra.com,3/20/17,Robert Vavrik,Strategic Planning Manager,815-788-5849,RVAVRIK@centegra.com,Northern Illinois Medical Center d/b/a Centegra Ho,Northern Illinois Medical Center d/b/a Centegra Ho,,,,,,Robert Vavrik,Strategic Planning Manager,3/20/17,https://centegra.org/mchenry-county-healthy-community-study/
4606,2016,Centegra Hospital - Woodstock,3701 Doty Road,Woodstock,60098,8,A-10,McHenry,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Michael S. Eesley,Chief Executive Officer,815-788-5823,meesley@centegra.com,3/20/17,Robert Vavrik,Strategic Planning Manager,815-788-5849,RVAVRIK@centegra.com,Memorial Medical Center d/b/a Centegra Hospital-Wo,Memorial Medical Center d/b/a Centegra Hospital-Wo,,,,,,Robert Vavrik,Strategic Planning Manager,3/20/17,https://centegra.org/mchenry-county-healthy-community-study/
5744,2016,Central DuPage Hospital,25 North Winfield Road,Winfield,60190,7,A-05,DuPage,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Maureen Taus,VP Finance,630-933-6342,maureen.taus@nm.org,3/27/17,Jennifer Millard,"Manager, Decision Support",312-926-0558,Jennifer.Millard@nm.org,Central DuPage Hospital,Central DuPage Hospital,,,,"* CY2015 reported 60 ED stations overstated by 1, should've been 59.  * Births and Newborn Care Section: Level I, II and III  Room & Board are all considered as Level II days; Level IV reported under Neonatal  *Sending additional Capital projects via email.",,David Huffman,"Manager, Decision Support",3/27/17,
0364,2016,CGH Medical Center,100 East Lefevre Road,Sterling,61081-1279,1,B-03,Whiteside,City,,,,General Hospital,,,,Paul Steinke,Cheif Executive Officer,815-625-0400,Paul.Steinke@cghmc.com,3/16/17,Joe Schueler,Director of Decision Support,815-625-0400,joseph.schueler@cghmc.com,CGH MEDICAL CENTER,CGH MEDICAL CENTER,Insight Telepsychiatry LLC,,,,,Joe Schueler,Director Decision Support,3/16/15,
5934,2016,Chicago Behavioral Hospital,555 Wilson Lane,Des Plaines,60016,7,A-07,Cook,For Profit Corporation,,,,,,,Psychiatric Hospital,David Fletcher-Janzen,Chief Executive Officer,847-768-5329,dfletcherjanzen@chicagobh.com,3/24/17,Anthony King,Director of Performance Improvement,847-768-5480,aking@chicagobh.com,"2014 Health, LLC.","2014 Health, LLC.",,,,,,Anthony King,Director of Performance Improvement,3/24/17,
0331,2016,Clay County Hospital,911 Stacy Burk Drive,Flora,62839,5,F-03,Clay,County,,Critical Access Hospital,,General Hospital,,,,Chris Hunt,CEO/President,(618) 662-1628,chris.hunt@claycountyhospital.org,5/18/17,Luke Czyzewski,Finance Department Manager,(618) 662-1497,luke.czyzewski@claycountyhospital.org,County of Clay,County of Clay,"St. Mary's Centralia, IL",,Integritas,,,Luke Czyzewski,Finance Department Manager,5/18/17,
5959,2016,Community First Medical Center,5645 West Addison Street,Chicago,60634,6,A-01,Cook,For Profit Corporation,,,,General Hospital,,,,Dennis FitzMaurice,COO/Interim CEO,773-794-8399,dfitzmaurice@cfmedicalcenter.com,5/8/17,Richard Clancy,Manager of Business Operations,773-527-5840,rclancy@cfmedicalcenter.com,"Community First Healthcare of Illinois, Inc.","Community First Healthcare of Illinois, Inc.",,,,,,Dennis FitzMaurice,COO/Interim CEO,5/8/17,
0414,2016,Community Memorial Hospital,400 Caldwell Street,Staunton,62088-1499,3,E-02,Macoupin,Not for Profit Corporation (Not Church-Related),,Critical Access Hospital,,General Hospital,,,,Sue Campbell,CEO,618-635-4241,scampbell@stauntonhospital.org,3/6/17,Shannon Sarti,Administrative Secretary,618-635-4240,ssarti@stauntonhospital.com,COMMUNITY MEMORIAL HOSPITAL ASSOCIATION,COMMUNITY MEMORIAL HOSPITAL ASSOCIATION,,,,,,Shannon Sarti,Administrative Secretary,3/3/17,www.stauntonhospital.org/2016_Community_Mem_Hosp_CHNA_Web.Pdf
0455,2016,Crawford Memorial Hospital,1000 North Allen Street,Robinson,62454,5,F-03,Crawford,Hospital District,,Critical Access Hospital,,General Hospital,,,,Lucinda Bradley,Interim CEO,6185443131,debbie.medsker@crawfordmh.org,3/16/17,Debra Medsker,Executive Assistant,,debbie.medsker@crawfordmh.org,Crawford Hospital District,Crawford Hopsital District,,,Carle Health Care,"Debbie Medsker, Executive Assistant was only responsible for keying information into report. Information was gather from various departments.",,Lucinda Bradley,Interim CEO,5/16/17,
3947,2016,Crossroads Community Hospital,8 Doctors Park Road,Mount Vernon,62864,5,F-04,Jefferson,For Profit Corporation,,,,General Hospital,,,,Finny Mathew,CEO,6182418505,Finny_mathew@crossroadshospital.com,3/17/17,Stephanie Maines,CNO,6182418523,stephanie_maines@crossroadshospital.com,"National Healthcare of Mt. Vernon, INC","National Healthcare of Mt. Vernon, INC",,Enduracare,,,,Stephanie Maines,CNO,3/17/17,
0471,2016,Decatur Memorial Hospital,2300 North Edward Street,Decatur,62526,4,D-04,Macon,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,"Timothy Stone, Jr.",President & CEO,217-876-2109,tims@dmhhs.org,3/16/17,Joe Wisner,Director of Accounting,217-876-2054,jwisner@dmhhs.org,Decatur Memorial Hospital,Decatur Memorial Hospital,Diamond Healthcare Corporation,,,,,"Timothy Stone, Jr.",President & CEO,3/16/17,https://www.dmhcares.com/wp-content/uploads/2016/05/CommunityHealthNeedsAssessment-1.pdf
5736,2016,Delnor Community Hospital,300 Randall Road,Geneva,60134,8,A-12,Kane,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Maureen Taus,VP Finance,630-933-6342,maureen.taus@nm.org,3/27/17,Jennifer Millard,"Manager, Decision Support",312-926-0558,Jennifer.Millard@nm.org,Delnor Community Hospital,Delnor Community Hospital,,,,"*Northwestern Medicine Delnor Hospital purchased Tri-Cities Surgery Center LLC effective June 1, 2016.  Shortly after the purchase transaction, Delnor Hospital invested significant capital infrastructure and implemented an operational integration plan to formally integrate Tri-Cities Surgery Center as a department of Delnor Hospital effective September 1, 2016 that has been validated and accredited by the Joint Commission effective December 16, 2016.  In response to this purchase transaction, capital investment, integration work, and accreditation decision, Delnor Hospital is now including the 3 OR’s and 2 GI rooms previously reported by Tri-Cities Surgery Center in the Delnor Hospital 2016 IDPH questionnaire response.  Please note that Delnor Hospital’s CY16 submission only includes surgical and GI volume from procedures performed on September 1, 2016 – December 31, 2016.  All procedures performed at Tri-Cities Surgery Center LLC prior to 9/1/16 were recorded in Tri-Cities Surgery Center LLC (License # 7003117) 2016 ASTC survey.    *CY2015 ER Stations was reported low at 27 but should've been reported as 33.",,David Huffman,"Manager, Decision Support",3/27/17,
3905,2016,Edward Hospital,801 South Washington,Naperville,60540,7,A-05,DuPage,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Mary Lou Mastro,System CEO,630-527-5350,Lou.Mastro@EEHealth.org,3/23/17,Kari Runge,"System Director, Planning & Business Development",630-527-3917,Kari.Runge@EEHealth.org,Edward Hospital,Edward Hospital,,,,,,Kelly Schaal,Planning Analyst,3/23/17,https://www.eehealth.org/-/media/files/edward-elmhurst/about-us/2015-prc-mchc-chna-report-edward-hospital--health-services.pdf?la=en
